序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
554,2087,新野纺织,河南新野纺织股份有限公司,南阳市,新野县,51.95亿,2.93亿,8870,2006-11-30,--,,棉纺,主营业务:从事中高档棉纺织品的生产与销售,从事中高档棉纺织品的生产与销售
555,2088,鲁阳节能,山东鲁阳节能材料股份有限公司,淄博市,沂源县,15.96亿,2.14亿,2070,2006-11-30,--,,耐火材料,主营业务:耐火纤维制品生产制造和销售,耐火纤维制品生产制造和销售
556,2089,新海宜,新海宜科技集团股份有限公司,苏州市,吴中区,16.05亿,-9210.02万,443,2006-11-30,--,,通信传输设备,主营业务:通信产品的研发、生产与销售业务，软件与服务业务，以及LED产品研发、生产与销售业务；新能源纯电动物流车及配套的动力电池和以LED芯片。,通信产品的研发、生产与销售业务，软件与服务业务，以及LED产品研发、生产与销售业务；新能源纯电动物流车及配套的动力电池和以LED芯片。
557,2090,金智科技,江苏金智科技股份有限公司,南京市,江宁区,23.06亿,1.45亿,1395,2006-12-08,--,,电气自控设备,主营业务:电力自动化业务、IT业务、电力工程设计与服务业务及新能源投资运营业务,电力自动化业务、IT业务、电力工程设计与服务业务及新能源投资运营业务
558,2091,江苏国泰,江苏国泰国际集团国贸股份有限公司,苏州市,张家港市,345.49亿,11.40亿,10716,2006-12-08,--,,贸易,主营业务:外贸和化工新材料,外贸和化工新材料
559,2092,中泰化学,新疆中泰化学股份有限公司,乌鲁木齐市,沙依巴克区,410.59亿,24.53亿,18635,2006-12-08,--,,氯碱,主营业务:聚氯乙烯树脂、离子膜烧碱的生产和销售;粘胶纤维、纱线的生产和销售,聚氯乙烯树脂、离子膜烧碱的生产和销售;粘胶纤维、纱线的生产和销售
560,2093,国脉科技,国脉科技股份有限公司,福州市,马尾区,15.16亿,1.58亿,1102,2006-12-15,--,,通信配套服务,主营业务:为客户提供信息通信技术（ICT）综合解决方案,为客户提供信息通信技术（ICT）综合解决方案
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
561,2094,青岛金王,青岛金王应用化学股份有限公司,青岛市,即墨区,46.77亿,4.45亿,4166,2006-12-15,--,,化妆品,主营业务:新材料蜡烛制品和相关工艺制品的开发、生产和销售,新材料蜡烛制品和相关工艺制品的开发、生产和销售
562,2095,生意宝,浙江网盛生意宝股份有限公司,杭州市,西湖区,3.62亿,2066.48万,960,2006-12-15,--,,电子商务B2B,主营业务:网络基础服务、网络信息推广服务、广告发布服务、生意通电子商务服务、化工贸易服务以及展会服务。,网络基础服务、网络信息推广服务、广告发布服务、生意通电子商务服务、化工贸易服务以及展会服务。
563,2096,南岭民爆,湖南南岭民用爆破器材股份有限公司,永州市,双牌县,26.24亿,2557.94万,5677,2006-12-22,--,,民爆用品,主营业务:民爆器材、军品的生产、研发与销售，工程爆破服务，物流运输等业务。,民爆器材、军品的生产、研发与销售，工程爆破服务，物流运输等业务。
564,2097,山河智能,山河智能装备股份有限公司,长沙市,长沙县,39.52亿,2.05亿,3485,2006-12-22,--,,工程机械,主营业务:生产销售液压静力压桩机、旋挖钻机、多功能小型液压挖掘机和一体化潜孔钻机四大系列产品。,生产销售液压静力压桩机、旋挖钻机、多功能小型液压挖掘机和一体化潜孔钻机四大系列产品。
565,2098,浔兴股份,福建浔兴拉链科技股份有限公司,泉州市,晋江市,18.60亿,1.40亿,5425,2006-12-22,--,,服饰辅料,主营业务:拉链业务与跨境电商(出口)零售业务,拉链业务与跨境电商(出口)零售业务
566,2099,海翔药业,浙江海翔药业股份有限公司,台州市,椒江区,23.09亿,3.42亿,3177,2006-12-26,--,,化学原料药,主营业务:特色原料药、制剂的生产和销售以及为国际制药企业提供定制生产、配套研发的服务;环保型活性染料、染料中间体以及颜料中间体的生产和销售。,特色原料药、制剂的生产和销售以及为国际制药企业提供定制生产、配套研发的服务;环保型活性染料、染料中间体以及颜料中间体的生产和销售。
567,2100,天康生物,天康生物股份有限公司,乌鲁木齐市,新市区,46.30亿,4.04亿,2798,2006-12-26,--,,饲料,主营业务:动物疫苗、饲料及饲用植物蛋白的生产及销售，种猪繁育、生猪养殖、屠宰加工及肉制品销售，融资担保业务,动物疫苗、饲料及饲用植物蛋白的生产及销售，种猪繁育、生猪养殖、屠宰加工及肉制品销售，融资担保业务
568,2101,广东鸿图,广东鸿图科技股份有限公司,肇庆市,高要市,50.03亿,3.44亿,7005,2006-12-29,--,,汽车零部件,主营业务:精密铝合金压铸件的设计和生产制造,精密铝合金压铸件的设计和生产制造
569,2102,ST冠福,冠福控股股份有限公司,泉州市,德化县,97.36亿,2.78亿,1340,2006-12-29,--,,医药中间体,主营业务:医药中间体研发生产、家用品制造与分销业务、贸易业务、黄金采矿业、投资性房地产租赁经营业务,医药中间体研发生产、家用品制造与分销业务、贸易业务、黄金采矿业、投资性房地产租赁经营业务
570,2103,广博股份,广博集团股份有限公司,宁波市,海曙区,23.78亿,1.10亿,2408,2007-01-10,--,,文化用品,主营业务:以纸制品文具为主的文化用品的生产和销售,以纸制品文具为主的文化用品的生产和销售
571,2104,恒宝股份,恒宝股份有限公司,镇江市,丹阳市,13.68亿,1.64亿,1205,2007-01-10,--,,通信终端设备,主营业务:密码卡、银行磁条卡、IC卡、模块封装、安全产品等的生产销售。,密码卡、银行磁条卡、IC卡、模块封装、安全产品等的生产销售。
572,2105,信隆健康,深圳信隆健康产业发展股份有限公司,深圳市,宝安区,17.46亿,4300.27万,5032,2007-01-12,--,,自行车,主营业务:自行车零配件、运动健身康复器材生产及销售,自行车零配件、运动健身康复器材生产及销售
573,2106,莱宝高科,深圳莱宝高科技股份有限公司,深圳市,南山区,39.89亿,1.49亿,1041,2007-01-12,--,,显示器件,主营业务:研发和生产平板显示材料及触控器件,研发和生产平板显示材料及触控器件
574,2107,沃华医药,山东沃华医药科技股份有限公司,潍坊市,奎文区,7.27亿,8079.79万,1448,2007-01-24,--,,中药生产,主营业务:心脑血管中成药的研发、生产和销售。,心脑血管中成药的研发、生产和销售。
575,2108,沧州明珠,沧州明珠塑料股份有限公司,沧州市,运河区,35.24亿,5.45亿,2476,2007-01-24,--,,管材,主营业务:PE燃气、给水管材管件的生产和销售以及BOPA薄膜的生产和销售,PE燃气、给水管材管件的生产和销售以及BOPA薄膜的生产和销售
576,2109,兴化股份,陕西兴化化学股份有限公司,咸阳市,兴平市,18.94亿,2.06亿,849,2007-01-26,--,,民爆用品,主营业务:合成氨、甲醇、甲胺、硝酸、硝酸铵、多孔硝铵、特种气体、铁粉的生产、加工、批发与零售;复合(复混)肥的生产、销售等。,合成氨、甲醇、甲胺、硝酸、硝酸铵、多孔硝铵、特种气体、铁粉的生产、加工、批发与零售;复合(复混)肥的生产、销售等。
577,2110,三钢闽光,福建三钢闽光股份有限公司,三明市,梅列区,316.86亿,57.43亿,8395,2007-01-26,--,,普钢,主营业务:钢铁冶炼、轧制、加工及延压产品的生产和销售,钢铁冶炼、轧制、加工及延压产品的生产和销售
578,2111,威海广泰,威海广泰空港设备股份有限公司,威海市,环翠区,18.04亿,1.18亿,2217,2007-01-26,--,,其他专用机械,主营业务:开发、生产、销售各类航空地面设备。,开发、生产、销售各类航空地面设备。
579,2112,三变科技,三变科技股份有限公司,台州市,三门县,5.36亿,-1.25亿,767,2007-02-08,--,,其他输变电设备,主营业务:电力变压器研发、生产和销售。,电力变压器研发、生产和销售。
580,2113,天润数娱,湖南天润数字娱乐文化传媒股份有限公司,岳阳市,岳阳楼区,2.06亿,538.69万,448,2007-02-08,--,,游戏,主营业务:移动网络游戏的研发及运营、移动游戏的代理运营和推广、从事运营商计费业务、广告精准投放业务和物业租赁等。,移动网络游戏的研发及运营、移动游戏的代理运营和推广、从事运营商计费业务、广告精准投放业务和物业租赁等。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
581,2114,罗平锌电,云南罗平锌电股份有限公司,曲靖市,罗平县,16.19亿,5471.23万,1618,2007-02-15,--,,铅锌,主营业务:铅锌矿石采选、锌冶炼、水力发电和资源综合利用项目,铅锌矿石采选、锌冶炼、水力发电和资源综合利用项目
582,2115,三维通信,三维通信股份有限公司,杭州市,滨江区,11.81亿,4568.49万,1155,2007-02-15,--,,通信配套服务,主营业务:通信工程和网络工程的系统集成，网络技术服务，软件的开发及技术服务，通信设备、无线广播电视发射设备、无线电发射与接受设备的研发、生产和销售，以及互联网广告投放业务。,通信工程和网络工程的系统集成，网络技术服务，软件的开发及技术服务，通信设备、无线广播电视发射设备、无线电发射与接受设备的研发、生产和销售，以及互联网广告投放业务。
583,2116,中国海诚,中国海诚工程科技股份有限公司,上海市,徐汇区,41.99亿,2.01亿,4835,2007-02-15,--,,专业工程,主营业务:为国内外工程建设提供设计、咨询、监理和总承包服务。,为国内外工程建设提供设计、咨询、监理和总承包服务。
584,2117,东港股份,东港股份有限公司,济南市,历城区,14.30亿,2.31亿,2243,2007-03-02,--,,包装印刷,"主营业务:商业票证印刷,智能卡制造与个性化处理,数据处理打印与邮发封装,个性化彩色印刷,普通商业标签与RFID智能标签,电子发票服务,彩票销售与自助销售终端的研发、运营,档案存储与电子化等","商业票证印刷,智能卡制造与个性化处理,数据处理打印与邮发封装,个性化彩色印刷,普通商业标签与RFID智能标签,电子发票服务,彩票销售与自助销售终端的研发、运营,档案存储与电子化等"
585,2118,紫鑫药业,吉林紫鑫药业股份有限公司,通化市,柳河县,13.27亿,3.71亿,2007,2007-03-02,--,,中药生产,主营业务:中成药的研发、生产、销售和中药材种植业务,中成药的研发、生产、销售和中药材种植业务
586,2119,康强电子,宁波康强电子股份有限公司,宁波市,鄞州区,13.04亿,7475.82万,991,2007-03-02,--,,半导体材料,主营业务:引线框架、键合丝等半导体封装材料的制造和销售,引线框架、键合丝等半导体封装材料的制造和销售
587,2120,韵达股份,韵达控股股份有限公司,宁波市,慈溪市,99.86亿,15.87亿,9346,2007-03-06,--,,物流,主营业务:综合快递物流业务。,综合快递物流业务。
588,2121,科陆电子,深圳市科陆电子科技股份有限公司,深圳市,南山区,43.76亿,3.96亿,4977,2007-03-06,--,,电气仪表,主营业务:从事电力自动化产品及电工仪器仪表的研发、生产及销售。,从事电力自动化产品及电工仪器仪表的研发、生产及销售。
589,2122,*ST天马,天马轴承集团股份有限公司,杭州市,拱墅区,25.38亿,4498.14万,3288,2007-03-28,--,,基础件,主营业务:轴承及机床的生产和销售,轴承及机床的生产和销售
590,2123,梦网集团,梦网荣信科技集团股份有限公司,鞍山市,铁东区,25.50亿,2.48亿,1232,2007-03-28,--,,其他互联网服务,主营业务:移动互联网运营支撑业务,移动互联网运营支撑业务
591,2124,天邦股份,天邦食品股份有限公司,宁波市,余姚市,30.61亿,2.59亿,3752,2007-04-03,--,,饲料,主营业务:饲料技术咨询服务;水产品的养殖(限分公司经营);饲料、饲料原料的批发、零售;自营和代理货物和技术的进出口。,饲料技术咨询服务;水产品的养殖(限分公司经营);饲料、饲料原料的批发、零售;自营和代理货物和技术的进出口。
592,2125,湘潭电化,湘潭电化科技股份有限公司,湘潭市,雨湖区,7.41亿,5156.83万,1326,2007-04-03,--,,其他化学原料,主营业务:锰系化工材料业务和污水处理业务,锰系化工材料业务和污水处理业务
593,2126,银轮股份,浙江银轮机械股份有限公司,台州市,天台县,43.23亿,3.43亿,5579,2007-04-18,--,,汽车零部件,主营业务:专业研发、制造和销售各种汽车、工程机械等热交换器及后处理产品,专业研发、制造和销售各种汽车、工程机械等热交换器及后处理产品
594,2127,南极电商,南极电商股份有限公司,苏州市,吴江区,9.86亿,5.36亿,399,2007-04-18,--,,营销服务,主营业务:品牌授权服务、电商生态综合服务平台服务、柔性供应链园区服务、专业增值服务及货品销售业务,品牌授权服务、电商生态综合服务平台服务、柔性供应链园区服务、专业增值服务及货品销售业务
595,2128,露天煤业,内蒙古霍林河露天煤业股份有限公司,通辽市,霍林郭勒市,75.88亿,17.63亿,4593,2007-04-18,--,,煤炭开采洗选,主营业务:煤炭系列产品的研制、生产和销售；火力发电；热力产品销售；废弃物综合利用及经营；设施租赁等。,煤炭系列产品的研制、生产和销售；火力发电；热力产品销售；废弃物综合利用及经营；设施租赁等。
596,2129,中环股份,天津中环半导体股份有限公司,天津市,西青区,96.44亿,5.91亿,7622,2007-04-20,--,,半导体材料,主营业务:单晶硅材料和半导体器件的研发、生产和销售,单晶硅材料和半导体器件的研发、生产和销售
597,2130,沃尔核材,深圳市沃尔核材股份有限公司,深圳市,坪山区,25.80亿,1.67亿,5035,2007-04-20,--,,非金属新材料,主营业务:高分子核辐射改性新材料及系列电子、电力新产品和新设备的研发、制造和销售,高分子核辐射改性新材料及系列电子、电力新产品和新设备的研发、制造和销售
598,2131,利欧股份,利欧集团股份有限公司,台州市,温岭市,105.73亿,4.36亿,5405,2007-04-27,--,,其他互联网服务,主营业务:机械制造和互联网服务,机械制造和互联网服务
599,2132,恒星科技,河南恒星科技股份有限公司,郑州市,巩义市,30.46亿,7479.43万,3607,2007-04-27,--,,金属制品,主营业务:金属制品，主要是子午轮胎用钢帘线、镀锌钢丝、钢绞线、PC钢绞线等系列产品的制造、销售。,金属制品，主要是子午轮胎用钢帘线、镀锌钢丝、钢绞线、PC钢绞线等系列产品的制造、销售。
600,2133,广宇集团,广宇集团股份有限公司,杭州市,上城区,34.68亿,2.89亿,329,2007-04-27,--,,房地产开发,主营业务:房地产投资、房地产开发经营、商品房销售及出租、实业投资、室内外装饰、工程技术咨询、仓储服务，建筑材料的销售,房地产投资、房地产开发经营、商品房销售及出租、实业投资、室内外装饰、工程技术咨询、仓储服务，建筑材料的销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
601,2134,天津普林,天津普林电路股份有限公司,天津市,东丽区,4.32亿,1419.07万,1042,2007-05-16,--,,印制电路板,主营业务:生产、销售双面和多层印刷电路板。,生产、销售双面和多层印刷电路板。
602,2135,东南网架,浙江东南网架股份有限公司,杭州市,萧山区,77.92亿,1.05亿,5348,2007-05-30,--,,钢结构,主营业务:大跨度空间钢结构、高层重钢结构、轻钢结构和住宅钢结构的设计、制造、安装,大跨度空间钢结构、高层重钢结构、轻钢结构和住宅钢结构的设计、制造、安装
603,2136,安纳达,安徽安纳达钛业股份有限公司,铜陵市,铜官区,11.43亿,1.70亿,740,2007-05-30,--,,其他化学制品,主营业务:钛白粉系列产品和磷酸铁系列产品。,钛白粉系列产品和磷酸铁系列产品。
604,2137,麦达数字,深圳市麦达数字股份有限公司,深圳市,龙岗区,9.36亿,7829.35万,794,2007-06-13,--,,互联网营销,主营业务:包括企业互联网服务业务和电子制造服务(EMS),包括企业互联网服务业务和电子制造服务(EMS)
605,2138,顺络电子,深圳顺络电子股份有限公司,深圳市,宝安区,19.88亿,3.44亿,5323,2007-06-13,--,,电子元件,主营业务:生产片式电感器和片式压敏电阻器,生产片式电感器和片式压敏电阻器
606,2139,拓邦股份,深圳拓邦股份有限公司,深圳市,南山区,26.83亿,2.25亿,5120,2007-06-29,--,,电子零部件,主营业务:电器产品智能控制、智能电源及其控制、高效照明产品及其控制、高效精密电机及其控制的研发、生产和销售。,电器产品智能控制、智能电源及其控制、高效照明产品及其控制、高效精密电机及其控制的研发、生产和销售。
607,2140,东华科技,东华工程科技股份有限公司,合肥市,蜀山区,29.09亿,-6160.73万,1169,2007-07-12,--,,专业工程,主营业务:主要为煤化工、天然气化工、石油化工、有机化工、无机化工、精细化工、环境市政、建筑、热电等多个行业或领域的工程项目建设提供设计咨询与工程总承包业务。,主要为煤化工、天然气化工、石油化工、有机化工、无机化工、精细化工、环境市政、建筑、热电等多个行业或领域的工程项目建设提供设计咨询与工程总承包业务。
608,2141,贤丰控股,贤丰控股股份有限公司,珠海市,金湾区,11.64亿,486.48万,862,2007-07-20,--,,电子元件,主营业务:漆包线及其相关产品的研发、生产和销售。,漆包线及其相关产品的研发、生产和销售。
609,2142,宁波银行,宁波银行股份有限公司,宁波市,鄞州区,253.14亿,93.56亿,12632,2007-07-19,--,,银行,主营业务:存款，贷款，办理国内结算，办理票据贴现，发行金融债券，代理发行、兑付债券，代理收付款、保险业务，保管箱服务。,存款，贷款，办理国内结算，办理票据贴现，发行金融债券，代理发行、兑付债券，代理收付款、保险业务，保管箱服务。
610,2143,印纪传媒,印纪娱乐传媒股份有限公司,遂宁市,船山区,21.88亿,7.61亿,394,2007-07-20,--,,营销服务,主营业务:影视娱乐内容和整合营销服务,影视娱乐内容和整合营销服务
611,2144,宏达高科,宏达高科控股股份有限公司,嘉兴市,海宁市,6.35亿,9481.86万,677,2007-08-03,--,,纺织面料,主营业务:纺织面料、医疗器械的研发、生产和销售,纺织面料、医疗器械的研发、生产和销售
612,2145,中核钛白,中核华原钛白股份有限公司,嘉峪关市,嘉峪关市,32.56亿,3.89亿,2307,2007-08-03,--,,其他化学制品,主营业务:钛白粉、硫酸亚铁的生产、批发零售、研究,钛白粉、硫酸亚铁的生产、批发零售、研究
613,2146,荣盛发展,荣盛房地产发展股份有限公司,廊坊市,广阳区,387.04亿,60.79亿,21758,2007-08-08,--,,房地产开发,主营业务:房地产开发经营,房地产开发经营
614,2147,ST新光,新光圆成股份有限公司,马鞍山市,雨山区,20.08亿,15.69亿,1365,2007-08-08,--,,房地产开发,"主营业务:回转支承的生产与经营,地产开发与商业经营。","回转支承的生产与经营,地产开发与商业经营。"
615,2148,北纬科技,北京北纬通信科技股份有限公司,北京市,丰台区,5.70亿,1.30亿,369,2007-08-10,--,,通信配套服务,主营业务:从事移动数据增值服务业务等,从事移动数据增值服务业务等
616,2149,西部材料,西部金属材料股份有限公司,西安市,高陵区,15.59亿,9144.97万,1423,2007-08-10,--,,其他金属新材料,主营业务:稀有金属材料的研发、生产和销售,稀有金属材料的研发、生产和销售
617,2150,通润装备,江苏通润装备科技股份有限公司,苏州市,常熟市,12.17亿,8172.48万,1274,2007-08-10,--,,金属制品,主营业务:金属制品和电器设备两大类产品的生产、研发和销售,金属制品和电器设备两大类产品的生产、研发和销售
618,2151,北斗星通,北京北斗星通导航技术股份有限公司,北京市,海淀区,22.04亿,1.15亿,4135,2007-08-13,--,,卫星应用,主营业务:导航定位产品、基于位置的信息系统应用、基于位置的运营服务。,导航定位产品、基于位置的信息系统应用、基于位置的运营服务。
619,2152,广电运通,广州广电运通金融电子股份有限公司,广州市,黄埔区,43.84亿,9.64亿,24277,2007-08-13,--,,专用计算机设备,主营业务:为全球客户提供运营服务、大数据解决方案以及各种智能终端设备，是国内领先的行业人工智能解决方案提供商。,为全球客户提供运营服务、大数据解决方案以及各种智能终端设备，是国内领先的行业人工智能解决方案提供商。
620,2153,石基信息,北京中长石基信息技术股份有限公司,北京市,海淀区,29.61亿,4.25亿,3828,2007-08-13,--,,行业应用软件,主营业务:从事酒店管理系统集成、软件开发、技术支持与服务,从事酒店管理系统集成、软件开发、技术支持与服务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
621,2154,报喜鸟,报喜鸟控股股份有限公司,温州市,永嘉县,26.01亿,3042.70万,7513,2007-08-16,--,,男装,主营业务:西服、衬衫、T恤等男士系列服饰产品的生产和销售,西服、衬衫、T恤等男士系列服饰产品的生产和销售
622,2155,湖南黄金,湖南黄金股份有限公司,长沙市,雨花区,103.26亿,2.93亿,6257,2007-08-16,--,,黄金,主营业务:金锑钨及其共(伴)生矿的勘探、开采、冶炼和加工,金锑钨及其共(伴)生矿的勘探、开采、冶炼和加工
623,2156,通富微电,通富微电子股份有限公司,南通市,南通市,65.19亿,1.97亿,10139,2007-08-16,--,,集成电路,主营业务:集成电路封装测试,集成电路封装测试
624,2157,正邦科技,江西正邦科技股份有限公司,南昌市,南昌县,206.15亿,5.57亿,16995,2007-08-17,--,,饲料,主营业务:饲料的生产和销售;种猪、商品猪的养殖与销售;畜禽屠宰加工与销售。,饲料的生产和销售;种猪、商品猪的养殖与销售;畜禽屠宰加工与销售。
625,2158,汉钟精机,上海汉钟精机股份有限公司,上海市,金山区,16.04亿,2.24亿,1646,2007-08-17,--,,制冷空调设备,主营业务:螺杆式压缩机应用技术的研制开发、生产销售及售后服务。,螺杆式压缩机应用技术的研制开发、生产销售及售后服务。
626,2159,三特索道,武汉三特索道集团股份有限公司,武汉市,武昌区,5.39亿,500.18万,1841,2007-08-17,--,,景区,主营业务:以风景区客运索道运输服务为主，辅以旅游景区经营、景观房地产开发及景区酒店业务。,以风景区客运索道运输服务为主，辅以旅游景区经营、景观房地产开发及景区酒店业务。
627,2160,常铝股份,江苏常铝铝业股份有限公司,苏州市,常熟市,40.64亿,1.70亿,1461,2007-08-21,--,,铝,主营业务:空调器用铝箔和各类复合铝箔的生产和销售,空调器用铝箔和各类复合铝箔的生产和销售
628,2161,远望谷,深圳市远望谷信息技术股份有限公司,深圳市,南山区,5.31亿,243.32万,727,2007-08-21,--,,电子零部件,主营业务:RFID技术及系统解决方案的开发、RFID系列产品的生产和销售,RFID技术及系统解决方案的开发、RFID系列产品的生产和销售
629,2162,悦心健康,上海悦心健康集团股份有限公司,上海市,闵行区,9.00亿,1786.55万,931,2007-08-23,--,,陶瓷,主营业务:玻化砖、釉面砖的生产与销售;以医养结合为核心的大健康产业,玻化砖、釉面砖的生产与销售;以医养结合为核心的大健康产业
630,2163,中航三鑫,中航三鑫股份有限公司,深圳市,南山区,46.04亿,-8776.23万,4045,2007-08-23,--,,玻璃,主营业务:主要从事建筑幕墙工程研发、设计、施工，幕墙产品和太阳能超白压延玻璃、电子功能玻璃的生产、销售业务。,主要从事建筑幕墙工程研发、设计、施工，幕墙产品和太阳能超白压延玻璃、电子功能玻璃的生产、销售业务。
631,2164,宁波东力,宁波东力股份有限公司,宁波市,江北区,128.70亿,1.60亿,1646,2007-08-23,--,,基础件,主营业务:齿轮箱、电机、门控系统等通用设备的制造、加工和销售，供应链管理及相关配套服务。,齿轮箱、电机、门控系统等通用设备的制造、加工和销售，供应链管理及相关配套服务。
632,2165,红宝丽,红宝丽集团股份有限公司,南京市,高淳区,21.71亿,4762.81万,1097,2007-09-13,--,,聚氨酯,主营业务:聚氨酯硬泡组合聚醚和异丙醇胺生产经营,聚氨酯硬泡组合聚醚和异丙醇胺生产经营
633,2166,莱茵生物,桂林莱茵生物科技股份有限公司,桂林市,临桂区,8.01亿,2.06亿,486,2007-09-13,--,,中药生产,主营业务:植物功能成份的高纯度单体和标准化提取物的生产、销售,植物功能成份的高纯度单体和标准化提取物的生产、销售
634,2167,东方锆业,广东东方锆业科技股份有限公司,汕头市,澄海区,8.52亿,-3836.17万,878,2007-09-13,--,,稀有金属,主营业务:锆及锆系列制品的研发、生产和经营,锆及锆系列制品的研发、生产和经营
635,2168,惠程科技,深圳市惠程信息科技股份有限公司,深圳市,坪山区,3.73亿,-1.06亿,904,2007-09-19,--,,其他电气设备,主营业务:电气业务和投资业务，大数据精细化营销的流量经营业务和移动游戏的研发、发行及游戏平台的运营等信息科技业务,电气业务和投资业务，大数据精细化营销的流量经营业务和移动游戏的研发、发行及游戏平台的运营等信息科技业务
636,2169,智光电气,广州智光电气股份有限公司,广州市,黄埔区,18.31亿,1.55亿,1611,2007-09-19,--,,电气自控设备,主营业务:电气控制设备、电力电缆、综合节能服务及用电服务,电气控制设备、电力电缆、综合节能服务及用电服务
637,2170,芭田股份,深圳市芭田生态工程股份有限公司,深圳市,南山区,20.79亿,-1.13亿,2799,2007-09-19,--,,复合肥,主营业务:复合肥产品的研发、生产和销售,复合肥产品的研发、生产和销售
638,2171,楚江新材,安徽楚江科技新材料股份有限公司,芜湖市,鸠江区,110.44亿,3.61亿,4509,2007-09-21,--,,铜,主营业务:铜板带材的研制、生产和销售,铜板带材的研制、生产和销售
639,2172,澳洋健康,江苏澳洋健康产业股份有限公司,苏州市,张家港市,53.72亿,1.61亿,4692,2007-09-21,--,,粘胶纤维,主营业务:化学纤维及健康医疗,化学纤维及健康医疗
640,2173,创新医疗,创新医疗管理股份有限公司,绍兴市,诸暨市,9.05亿,1.41亿,2988,2007-09-25,--,,医疗服务,主营业务:珍珠饰品生产销售与医疗服务,珍珠饰品生产销售与医疗服务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
641,2174,游族网络,游族网络股份有限公司,泉州市,晋江市,32.36亿,6.64亿,2236,2007-09-25,--,,游戏,主营业务:网页网络游戏、移动网络游戏的研发和运营,网页网络游戏、移动网络游戏的研发和运营
642,2175,东方网络,东方时代网络传媒股份有限公司,桂林市,七星区,4.12亿,-2.78亿,1096,2007-10-12,--,,文化传媒,主营业务:数显量具量仪及相关产品的生产、销售与研发；电影、电视、动漫和游戏。,数显量具量仪及相关产品的生产、销售与研发；电影、电视、动漫和游戏。
643,2176,江特电机,江西特种电机股份有限公司,宜春市,袁州区,33.65亿,2.83亿,3563,2007-10-12,--,,电机,主营业务:电动机、发电机、机械产品、锂离子电池用材料、矿产品等的生产和销售。,电动机、发电机、机械产品、锂离子电池用材料、矿产品等的生产和销售。
644,2177,御银股份,广州御银科技股份有限公司,广州市,天河区,5.70亿,1376.70万,299,2007-11-01,--,,专用计算机设备,主营业务:ATM产品销售和ATM合作运营服务,ATM产品销售和ATM合作运营服务
645,2178,延华智能,上海延华智能科技(集团)股份有限公司,上海市,普陀区,11.91亿,3178.34万,966,2007-11-01,--,,房屋建筑,主营业务:楼宇智能化工程，公共安全防范工程设计、施工、维修计算机网络系统集成，系统设备采购、工程施工、集成调试、项目管理以及运维增值服务。,楼宇智能化工程，公共安全防范工程设计、施工、维修计算机网络系统集成，系统设备采购、工程施工、集成调试、项目管理以及运维增值服务。
646,2179,中航光电,中航光电科技股份有限公司,洛阳市,涧西区,63.62亿,8.66亿,11578,2007-11-01,--,,电子零部件,主营业务:光电元器件及电子信息产品的生产销售,光电元器件及电子信息产品的生产销售
647,2180,纳思达,纳思达股份有限公司,珠海市,香洲区,213.24亿,14.51亿,18804,2007-11-13,--,,集成电路,主营业务:集成电路芯片、通用打印耗材及核心部件和再生打印耗材的研究、开发、生产和销售。,集成电路芯片、通用打印耗材及核心部件和再生打印耗材的研究、开发、生产和销售。
648,2181,粤传媒,广东广州日报传媒股份有限公司,广州市,白云区,8.94亿,6865.19万,2576,2007-11-16,--,,平面媒体,主营业务:设计、制作、代理国内各类广告业务，印刷出版物，销售书报刊，广告经营、报纸发行、新媒体经营等,设计、制作、代理国内各类广告业务，印刷出版物，销售书报刊，广告经营、报纸发行、新媒体经营等
649,2182,云海金属,南京云海特种金属股份有限公司,南京市,溧水区,49.27亿,1.53亿,3117,2007-11-13,--,,其他金属新材料,主营业务:有色金属的冶炼和压延加工业务。,有色金属的冶炼和压延加工业务。
650,2183,怡亚通,深圳市怡亚通供应链股份有限公司,深圳市,宝安区,685.15亿,5.85亿,20098,2007-11-13,--,,供应链管理,主营业务:供应链管理服务,供应链管理服务
651,2184,海得控制,上海海得控制系统股份有限公司,上海市,闵行区,20.51亿,3394.80万,969,2007-11-16,--,,电气自控设备,主营业务:工业电气产品分销业务和系统集成业务(包括公司自主研发产品),工业电气产品分销业务和系统集成业务(包括公司自主研发产品)
652,2185,华天科技,天水华天科技股份有限公司,天水市,秦州区,70.10亿,5.47亿,12261,2007-11-20,--,,集成电路,主营业务:集成电路封装测试,集成电路封装测试
